function,model,promptTokens,completionTokens
verifyData,accounts/fireworks/models/llama-v3p2-90b-vision-instruct,6492,83
verifyData,accounts/fireworks/models/llama-v3p1-70b-instruct,315,12
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,889,46
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,923,28
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,952,76
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1023,85
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1068,102
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1160,110
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1173,66
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1239,135
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1243,138
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1395,93
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1395,90
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1502,132
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1522,99
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1624,116
dataChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1635,153
extractDataFromChat,accounts/fireworks/models/llama-v3p2-3b-instruct,1790,141
